Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
"Muffins Blueberry, commercial",0.83,blueMuffin,1 ea,45,1.58733,15,33,140,2.7,22,1.3,45,4.9,0.9,5,225,90,54,0.2,1.17,0.11,0.13,11,0.01,0.5,BAKED GOODS
Mushrooms raw sliced,0.82,mushroom,1/2 cup,35,1.23459,2,92,9,0.7,1.6,0.8,0,0.1,0.4,4,1,36,130,0.3,1.44,0.04,0.16,0,0.03,1,VEGETABLES AND LEGUMES
Nectarines raw without pits,2.6,nectarine,1 ea,136,4.797264,6,86,67,1.3,16,3.1,0,0.6,0.2,11,0,22,288,0.1,1.35,0.02,0.06,100,0.03,7,FRUITS
Oil - Corn,0.42,cornOil,1/4 cup,54,1.904796,0,0,482,0,0,0,0,54,0,0,0,1,0,0.1,0,0,0,0,0,0,FATS AND OILS
Oil - Olive,0.55,oliveOil,1/4 cup,54,1.904796,0,0,477,0,0,0,0,54,0.2,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Oil - Peanut,0.32,peanutOil,1/4 cup,54,1.904796,0,0,477,0,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Onions raw chopped,1.9,onion,1 cup,160,5.64384,40,91,54,1.9,11.7,2.6,0,0.4,0.6,16,3,46,248,0.3,0.16,0.1,0.02,0,0.25,13,VEGETABLES AND LEGUMES
Orange (12 fl oz),0.53,orange,1 1/2 cups,372,13.121928,19,88,177,0,45.8,0,0,0,0.2,4,46,4,9,0.4,0,0,0,0,0,0,BEVERAGES
Orange juice,0.44,orangeJuice,1 cup,248,8.747952,27,88,111,1.7,25.8,0.5,0,0.5,0.5,27,2,42,496,0.1,0.99,0.22,0.07,50,0.1,124,FRUITS
Oysters - raw Pacific,5.3,pacifcOyster,1 cup,240,8.46576,202,85,160,21,8,0,120,5,16.8,54,185,379,290,74.4,6,0.29,0.43,223,0.13,24,FISH/SHELLFISH
Oysters Eastern raw,13.71,eastOyster,1 cup,240,8.46576,226,85,160,20,8,0,120,4,15.6,116,175,343,290,96.7,6,0.34,0.43,223,0.13,24,FISH AND SHELLFISH
"Peach pie, piece",0.87,peachPie,1 pce,158,5.573292,27,48,405,33.5,60.7,2.8,0,17.5,1.9,16,423,55,235,0.3,2.3,0.17,0.15,93,0.07,5,BAKED GOODS
